state,tax_rate
Alabama,0%
Alaska,0%
Arizona,5.60%
Arkansas,6.50%
California,6.00%
Colorado,2.90%
Connecticut,6.35%
Delaware,0%
Florida,6%
Georgia,4%
Hawaii,4%
Idaho,6%
Illinois,6.25%
Indiana,7%
Iowa,6%
Kansas,6.50%
Kentucky,6%
Louisiana,4.45%
Maine,5.50%
Maryland,6%
Massachusetts,5.60%
Michigan,6%
Minnesota,6.88%
Mississippi,7%
Missouri,4.23%
Montana,0%
Nebraska,5.50%
Nevada,4.60%
New Hampshire,0%
New Jersey,6.63%
New Mexico,5.13%
New York,4%
North Carolina,4.75%
North Dakota,5%
Ohio,5.75%
Oklahoma,4.50%
Oregon,0%
Pennsylvania,6%
Rhode Island,7%
South Carolina,6%
South Dakota,4.50%
Tennessee,7%
Texas,6.25%
Utah,4.70%
Vermont,6%
Virginia,4.30%
Washington,6.50%
West Virginia,6%
Wisconsin,5%
Wyoming,4%
